ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount
000901.SH,20250818,6119.8017,6145.5959,6170.7169,6119.8017,6122.5255,-2.7238,-0.0445,121786835.0,134771996.411
000902.CSI,20250818,5829.4885,5778.5296,5861.8305,5765.4101,5750.0452,79.4433,1.3816,1755430478.17,2757699664.598
000902.SH,20250818,5829.4885,5778.5296,5861.8305,5765.4101,5750.0452,79.4433,1.3816,1755430478.17,2757699664.598
000903.SH,20250818,4001.5394,3986.5352,4033.8022,3973.9526,3970.6881,30.8513,0.777,134636734.0,307366044.484
000904.CSI,20250818,5002.9027,4966.6777,5041.9738,4946.0742,4940.5126,62.3901,1.2628,167656787.84,301451699.558
000905.SH,20250818,6668.1726,6612.9878,6709.7812,6580.4373,6568.57,99.6026,1.5164,302448229.0,491491240.868
000906.SH,20250818,4647.2189,4619.907,4681.7731,4602.5915,4598.8385,48.3804,1.052,603927331.0,1126857108.053
000907.CSI,20250818,5757.1105,5712.3544,5797.0945,5686.6729,5677.9999,79.1106,1.3933,470105016.86,792942940.331
000907.SH,20250818,5757.1105,5712.3544,5797.0945,5686.6729,5677.9999,79.1106,1.3933,470105016.86,792942940.331
000908.CSI,20250818,2195.1857,2242.6789,2244.2082,2192.6582,2186.8598,8.3259,0.3807,7419411.13,12200639.622
000909.CSI,20250818,2925.015,2944.693,2959.2804,2915.286,2925.5924,-0.5774,-0.0197,55151184.1,62532474.434
000910.CSI,20250818,2232.1746,2227.8215,2248.9711,2221.0599,2221.3495,10.8251,0.4873,50877885.45,79525537.995
000911.CSI,20250818,6368.3413,6332.0116,6419.729,6331.3894,6309.2537,59.0876,0.9365,9278024.03,39037484.622
000912.CSI,20250818,21694.3168,21645.2977,21808.5598,21614.0763,21604.1227,90.1941,0.4175,3753346.38,23768194.409
000913.SH,20250818,9085.4254,9065.5191,9141.741,9045.0138,9058.1176,27.3078,0.3015,7685416.0,31777689.932
000914.SH,20250818,6865.4845,6843.2123,6919.9627,6801.1526,6835.3426,30.1419,0.441,92459171.0,142478964.024
000915.CSI,20250818,2740.537,2705.1833,2777.5416,2673.3029,2685.4574,55.0796,2.051,43918957.25,168962749.319
000915.SH,20250818,2740.537,2705.1833,2777.5416,2673.3029,2685.4574,55.0796,2.051,43918957.25,168962749.319
000916.CSI,20250818,4079.0116,3913.2231,4141.0288,3910.1223,3892.9176,186.094,4.7803,21651938.36,66640570.645
000916.SH,20250818,4079.0116,3913.2231,4141.0288,3910.1223,3892.9176,186.094,4.7803,21651938.36,66640570.645
000917.CSI,20250818,2508.7398,2508.713,2517.4698,2503.8446,2507.0996,1.6402,0.0654,9283768.76,8441562.143
000918.CSI,20250818,4342.3,4313.3929,4379.7379,4301.3505,4302.189,40.111,0.9323,55508221.24,218568656.104
